Year,rank,player,team_ID,points_won,first_place_votes,share,WAR,G,AB,R,H,HR,RBI,SB,BB,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging
2016,14,Buster Posey (2016),SFG,11,0,3%,4.7,146,539,82,155,14,80,6,64,0.288,0.362,0.434,0.796
2016,15,DJ LeMahieu (2016),COL,8,0,2%,5.5,146,552,104,192,11,66,11,66,0.348,0.416,0.495,0.911
2016,17,Wilson Ramos (2016),WSN,6,0,1%,3.1,131,482,58,148,22,80,0,35,0.307,0.354,0.496,0.85
2016,19,Addison Russell (2016),CHC,5,0,1%,3.9,151,525,67,125,21,95,5,55,0.238,0.321,0.417,0.738
2016,19,Christian Yelich (2016),MIA,5,0,1%,4.9,155,578,78,172,21,98,9,72,0.298,0.376,0.483,0.859
2016,22,Yasmani Grandal (2016),LAD,4,0,1%,3,126,390,49,89,27,72,1,64,0.228,0.339,0.477,0.816
2016,23,Ryan Braun (2016),MIL,2,0,0%,4.4,135,511,80,156,30,91,16,46,0.305,0.365,0.538,0.903
2016,23,Yadier Molina (2016),STL,2,0,0%,2.9,147,534,56,164,8,58,3,39,0.307,0.36,0.427,0.787
2016,26,Charlie Blackmon (2016),COL,1,0,0%,4.6,143,578,111,187,29,82,17,43,0.324,0.381,0.552,0.933
2017,1,Giancarlo Stanton (2017),MIA,302,10,72%,8.1,159,597,123,168,59,132,2,85,0.281,0.376,0.631,1.007
2017,2,Joey Votto (2017),CIN,300,10,71%,7.9,162,559,106,179,36,100,5,134,0.32,0.454,0.578,1.032
2017,3,Paul Goldschmidt (2017),ARI,239,4,57%,6.1,155,558,117,166,36,120,18,94,0.297,0.404,0.563,0.966
2017,4,Nolan Arenado (2017),COL,229,2,55%,6.6,159,606,100,187,37,130,3,62,0.309,0.373,0.586,0.959
2017,5,Charlie Blackmon (2017),COL,205,3,49%,5.5,159,644,137,213,37,104,14,65,0.331,0.399,0.601,1
2017,6,Anthony Rendon (2017),WSN,141,0,34%,6.1,147,508,81,153,25,100,7,84,0.301,0.403,0.533,0.937
2017,7,Kris Bryant (2017),CHC,132,1,31%,5.7,151,549,111,162,29,73,7,95,0.295,0.409,0.537,0.946
2017,8,Justin Turner (2017),LAD,43,0,10%,5.8,130,457,72,147,21,71,7,59,0.322,0.415,0.53,0.945
2017,9,Cody Bellinger (2017),LAD,38,0,9%,4,132,480,87,128,39,97,10,64,0.267,0.352,0.581,0.933
2017,11,Tommy Pham (2017),STL,24,0,6%,6.3,128,444,95,136,23,73,25,71,0.306,0.411,0.52,0.931
2017,12,Bryce Harper (2017),WSN,21,0,5%,4.7,111,420,95,134,29,87,4,68,0.319,0.413,0.595,1.008
2017,13,Anthony Rizzo (2017),CHC,17,0,4%,4.7,157,572,99,156,32,109,10,91,0.273,0.392,0.507,0.899
2017,14,J.D. Martinez (2017),ARI,11,0,3%,2.4,62,232,47,70,29,65,2,24,0.302,0.366,0.741,1.107
2017,15,Marcell Ozuna (2017),MIA,8,0,2%,5.7,159,613,93,191,37,124,1,64,0.312,0.376,0.548,0.924
2017,17,Corey Seager (2017),LAD,6,0,1%,5.2,145,539,85,159,22,77,4,67,0.295,0.375,0.479,0.854
2017,19,Daniel Murphy (2017),WSN,3,0,1%,3.2,144,534,94,172,23,93,2,52,0.322,0.384,0.543,0.928
2017,20,Ryan Zimmerman (2017),WSN,1,0,0%,2.7,144,524,90,159,36,108,1,44,0.303,0.358,0.573,0.93
2018,1,Christian Yelich (2018),MIL,415,29,99%,7.3,147,574,118,187,36,110,22,68,0.326,0.402,0.598,1
2018,2,Javier Baez (2018),CHC,250,0,60%,6.8,160,606,101,176,34,111,21,29,0.29,0.326,0.554,0.881
2018,3,Nolan Arenado (2018),COL,203,0,48%,6.3,156,590,104,175,38,110,2,73,0.297,0.374,0.561,0.935
2018,4,Freddie Freeman (2018),ATL,174,0,41%,5.5,162,618,94,191,23,98,10,76,0.309,0.388,0.505,0.892
2018,6,Paul Goldschmidt (2018),ARI,115,0,27%,5.8,158,593,95,172,33,83,7,90,0.29,0.389,0.533,0.922
2018,7,Lorenzo Cain (2018),MIL,109,0,26%,6.8,141,539,90,166,10,38,30,71,0.308,0.395,0.417,0.813
2018,8,Trevor Story (2018),COL,108,0,26%,6.3,157,598,88,174,37,108,27,47,0.291,0.348,0.567,0.914
2018,9,Matt Carpenter (2018),STL,105,0,25%,4.6,156,564,111,145,36,81,4,102,0.257,0.374,0.523,0.897
2018,11,Anthony Rendon (2018),WSN,21,0,5%,5.2,136,529,88,163,24,92,2,55,0.308,0.374,0.535,0.909
2018,12,Ronald Acuna Jr. (2018),ATL,19,0,5%,3.9,111,433,78,127,26,64,16,45,0.293,0.366,0.552,0.917
2018,14,Justin Turner (2018),LAD,10,0,2%,4.9,103,365,62,114,14,52,2,47,0.312,0.406,0.518,0.924
2018,15,Max Muncy (2018),LAD,8,0,2%,4.3,137,395,75,104,35,79,3,79,0.263,0.391,0.582,0.973
2018,16,Jesus Aguilar (2018),MIL,7,0,2%,3.3,149,492,80,135,35,108,0,58,0.274,0.352,0.539,0.89
2018,18,Nick Markakis (2018),ATL,2,0,0%,2.6,162,623,78,185,14,93,1,72,0.297,0.366,0.44,0.806
2018,18,Eugenio Suarez (2018),CIN,2,0,0%,3.8,143,527,79,149,34,104,1,64,0.283,0.366,0.526,0.892
2019,1,Cody Bellinger (2019),LAD,362,19,86%,8.7,156,558,121,170,47,115,15,95,0.305,0.406,0.629,1.035
2019,2,Christian Yelich (2019),MIL,317,10,75%,7.1,130,489,100,161,44,97,30,80,0.329,0.429,0.671,1.1
2019,3,Anthony Rendon (2019),WSN,242,1,58%,7.3,146,545,117,174,34,126,5,80,0.319,0.412,0.598,1.01
2019,4,Ketel Marte (2019),ARI,198,0,47%,6.9,144,569,97,187,32,92,10,53,0.329,0.389,0.592,0.981
2019,5,Ronald Acuna Jr. (2019),ATL,155,0,37%,5.2,156,626,127,175,41,101,37,76,0.28,0.365,0.518,0.883
2019,6,Nolan Arenado (2019),COL,120,0,29%,7.1,155,588,102,185,41,118,3,62,0.315,0.379,0.583,0.962
2019,7,Pete Alonso (2019),NYM,102,0,24%,5.4,161,597,103,155,53,120,1,72,0.26,0.358,0.583,0.941
2019,8,Freddie Freeman (2019),ATL,90,0,21%,3.8,158,597,113,176,38,121,6,87,0.295,0.389,0.549,0.938
2019,9,Juan Soto (2019),WSN,45,0,11%,5.1,150,542,110,153,34,110,12,108,0.282,0.401,0.548,0.949
2019,11,Josh Donaldson (2019),ATL,27,0,6%,5.3,155,549,96,142,37,94,4,100,0.259,0.379,0.521,0.9
2019,12,Trevor Story (2019),COL,26,0,6%,6.9,145,588,111,173,35,85,23,58,0.294,0.363,0.554,0.917
2019,14,J.T. Realmuto (2019),PHI,8,0,2%,4.5,145,538,92,148,25,83,9,41,0.275,0.328,0.493,0.82
2019,15,Yasmani Grandal (2019),MIL,4,0,1%,2.5,153,513,79,126,28,77,5,109,0.246,0.38,0.468,0.848
2019,15,Max Muncy (2019),LAD,4,0,1%,5.3,141,487,101,122,35,98,4,90,0.251,0.374,0.515,0.889
2019,15,Eugenio Suarez (2019),CIN,4,0,1%,3.5,159,575,87,156,49,103,3,70,0.271,0.358,0.572,0.93
2019,20,Paul Goldschmidt (2019),STL,2,0,0%,2.6,161,597,97,155,34,97,3,78,0.26,0.346,0.476,0.821
2019,20,Kolten Wong (2019),STL,2,0,0%,5.4,148,478,61,136,11,59,24,47,0.285,0.361,0.423,0.784
2019,22,Kevin Pillar (2019),SFG,1,0,0%,0.6,156,595,82,157,21,87,14,18,0.264,0.293,0.442,0.735
2021,1,Bryce Harper (2021),PHI,348,17,83%,5.9,141,488,101,151,35,84,13,100,0.309,0.429,0.615,1.044
2021,2,Juan Soto (2021),WSN,274,6,65%,7.3,151,502,111,157,29,95,9,145,0.313,0.465,0.534,0.999
2021,3,Fernando Tatis Jr. (2021),SDP,244,2,58%,6.6,130,478,99,135,42,97,25,62,0.282,0.364,0.611,0.975
2021,4,Brandon Crawford (2021),SFG,213,4,51%,6.1,138,483,79,144,24,90,11,56,0.298,0.373,0.522,0.895
2021,5,Trea Turner (2021),TOT,185,1,44%,6.5,148,595,107,195,28,77,32,41,0.328,0.375,0.536,0.911
2021,6,Paul Goldschmidt (2021),STL,128,0,30%,5.9,158,603,102,177,31,99,12,67,0.294,0.365,0.514,0.879
2021,7,Austin Riley (2021),ATL,111,0,26%,6.3,160,590,91,179,33,107,0,52,0.303,0.367,0.531,0.898
2021,8,Tyler O'Neill (2021),STL,62,0,15%,6.4,138,482,89,138,34,80,15,38,0.286,0.352,0.56,0.912
2021,9,Freddie Freeman (2021),ATL,43,0,10%,4.8,159,600,120,180,31,83,8,85,0.3,0.393,0.503,0.896
2021,10,Max Muncy (2021),LAD,38,0,9%,4.6,144,497,95,124,36,94,2,83,0.249,0.368,0.527,0.895
